name,date_added,elo,wins,losses,kd,image
Tornado Jared,02/23/2025,956,135,149,0.91,uploads/photos/champions/tornado_jared.webp
Highschool Jared,02/23/2025,974,120,204,0.59,uploads/photos/champions/img-139.webp
Silly Jared,02/24/2025,724,59,237,0.25,uploads/photos/champions/silly_Jared.webp
A Toaster,02/24/2025,968,135,175,0.77,uploads/photos/champions/toaster.webp
Hawthorne the Duck,02/24/2025,1372,270,38,7.11,uploads/photos/champions/duck.webp
Susa Man,02/24/2025,949,127,155,0.82,uploads/photos/champions/PXL_20240919_230152685_1.webp
The Opening Crawl to Star Wars: Episode IV - A New Hope,02/25/2025,864,72,181,0.4,uploads/photos/champions/episode-4-crawl.webp
PaRappa Rappa from PaRappa The Rapper,02/25/2025,1024,90,177,0.51,uploads\photos\champions\PTR_US_cover_Parappa.webp
Goku from Dragon Ball Z,02/25/2025,790,64,241,0.27,uploads/photos/champions/Goku_anime_profile.webp
A Plastic Lawn Chair,02/25/2025,1014,157,121,1.3,uploads/photos/champions/chair.webp
Turner wet floor sign,02/25/2025,880,122,147,0.83,uploads/photos/champions/17405310327015216171850877091055.webp
Thomas Bourke Water Bottle on Band Room Floor,02/25/2025,1058,165,93,1.77,uploads/photos/champions/17405335571228062826981483645132.webp
Dino Tie Clip,02/25/2025,933,110,122,0.9,uploads/photos/champions/17405336649277857244683759778259.webp
Band Room Nun,02/25/2025,1085,117,120,0.98,uploads/photos/champions/17405336888498273224204349694940.webp
Snazzy Elijah,02/25/2025,866,111,142,0.78,uploads/photos/champions/17405337596996945533768790593427.webp
A tuba,02/25/2025,937,121,124,0.98,uploads/photos/champions/17405337711812217877216014588769.webp
Apathetic Davoren,02/25/2025,919,135,117,1.15,uploads/photos/champions/1000001750.webp
Mildly obnoxious cake,02/25/2025,898,90,143,0.63,uploads/photos/champions/1000035008.webp
Tim and Sam; Sam and Tim,02/25/2025,1115,144,87,1.66,uploads/photos/champions/1000001335.webp
McMurray,02/25/2025,940,111,139,0.8,uploads/photos/champions/1000001717.webp
Turner Pillow Fort,02/25/2025,1090,156,65,2.4,uploads/photos/champions/1000001641.webp
Supportive Davoren,02/25/2025,1049,151,87,1.74,uploads/photos/champions/1000034992.webp
Enthusiastic Randy,02/25/2025,1000,133,92,1.45,uploads/photos/champions/1000001388.webp
Sassy Randy,02/25/2025,894,111,120,0.92,uploads/photos/champions/1000001438.webp
A digital cel shaded tree artwork,02/25/2025,955,93,108,0.86,uploads/photos/champions/1000034931.webp
An oscilloscope,02/25/2025,849,75,154,0.49,uploads/photos/champions/1000034848.webp
Petulent Randy,02/25/2025,961,102,120,0.85,uploads/photos/champions/1000001391.webp
Spaghetti!,02/25/2025,1123,117,103,1.14,uploads/photos/champions/1000000881.webp
Ivan Dorin on YouTube,02/25/2025,875,75,121,0.62,uploads/photos/champions/1000000840.webp
Baby Ryan,02/25/2025,1134,134,65,2.06,uploads/photos/champions/1000000620.webp
Too soon.,02/25/2025,793,67,170,0.39,uploads/photos/champions/1000000406.webp
Unfunny play on words,02/25/2025,894,87,169,0.51,uploads/photos/champions/1000000320.webp
Unfunny science meme,02/25/2025,624,56,188,0.3,uploads/photos/champions/1000000404.webp
Boat waves.,02/25/2025,1070,148,91,1.63,uploads/photos/champions/1000000181.webp
Italian Tree,02/25/2025,1095,138,64,2.16,uploads/photos/champions/bc6f658b-7dff-463e-bb92-ca2942b70f28-1_all_153.webp
Sac City Iowa; home of the world's largest popcorn ball,02/25/2025,1026,101,124,0.81,uploads/photos/champions/1000001946.webp
Rainbow Ukulele,02/25/2025,948,80,143,0.56,uploads/photos/champions/17405426357516265141137248303620.webp
Benedictine College Ministry Polo,02/25/2025,885,76,142,0.54,uploads/photos/champions/17405426858546649995603629571518.webp
Minecraft Mini Fridge,02/25/2025,979,94,107,0.88,uploads/photos/champions/17405427244784071273591383948342.webp
Ping Pong Ball,02/25/2025,804,75,122,0.61,uploads/photos/champions/17405427968081368556484621952834.webp
Pater Noster/Ave Maria,02/25/2025,1115,145,63,2.3,uploads/photos/champions/17405428323552836765496063811798.webp
One billion lions,02/26/2025,1183,138,82,1.68,uploads/photos/champions/Screenshot_2025-02-26_171948.webp
